тикер,полное название,кол-во акций,размер лота,цена 1 акции
SGZH,Сегежа ао,15690000000,100,1.376
SIBN,Газпром нефть ПАО ао,4741299639,1,616.0
SLEN,"ПАО ""Сахалинэнерго"" ао",1237175444,100,4.085
SMLT,ГК Самолет ао,61579358,1,1300.5
SNGS,Сургутнефтегаз ПАО акции об.,35725994705,100,28.115
SNGSP,Сургутнефтегаз ПАО ап,7701998235,10,58.595
SOFL,Софтлайн ао,400002000,10,117.86
SPBE,СПБ Биржа ао,132843907,1,135.4
STSB,Ставрополэнергосбыт ПАО ао,859074636,1000,3.585
STSBP,Ставрополэнергосбыт ПАО ап,262100364,1000,4.295
SVAV,"ПАО ""СОЛЛЕРС""",31486001,1,754.5
SVCB,Совкомбанк ао,20693945875,100,14.925
SVET,Светофор Групп ао,22333500,1,17.35
SVETP,Светофор Групп ап,2481500,1,22.0
T,Т-Технологии МКПАО ао,268274786,1,3001.4
TASB,"ао""Тамбов.энергсбыт.комп.""ПАО",1525986880,1000,1.676
TASBP,"ап""Тамбов.энергсбыт.комп.""ПАО",217961420,10000,0.922
TATN,"ПАО ""Татнефть"" ао",2178690700,1,683.7
TATNP,"ПАО ""Татнефть"" ап 3 вып.",147508500,1,666.8
TGKA,"ао ПАО ""ТГК-1""",3854341416571,100000,0.007414
TGKB,"ао ПАО ""ТГК-2""",1458404850747,1000000,0.007925
TGKBP,"ап ПАО ""ТГК-2""",16500533681,100000,0.01317
TGKN,"ао ПАО ""ТГК-14""",1357945609114,100000,0.00825
TNSE,"ПАО ГК ""ТНС энерго"" ао",13668239,1,2945.0
TORS,"ао ПАО ""Россети Томск""",3819315580,10000,0.638
TORSP,"ап ПАО ""Россети Томск""",576693000,10000,0.49
TRMK,ПАО ТМК,1052000000,10,107.36
TRNFP,Транснефть ПАО акц.пр.,155487500,1,1174.0
TTLK,"""Таттелеком"" ПАО ао",20843976400,1000,0.746
TUZA,Туймаз. завод автобетоновозов,8220000,10,215.5
UGLD,ЮГК,222778849052,1000,0.8484
UKUZ,Южный Кузбасс ПАО ао,36149002,1,1194.0
UNAC,Об.авиастр.корп. ПАО ао,994436434417,1000,0.6315
UNKL,Южно-Уральский никел. комб. ао,599737,1,5840.0
UPRO,Юнипро ПАО ао,63048706145,1000,2.007
URKZ,"ПАО ""Уральская кузница"" ао",547761,1,
USBN,БАНК УРАЛСИБ ПАО ао,360134697357,10000,0.1625
UTAR,"Авиакомпания ""ЮТэйр"" (ПАО) ао",7896123268,100,13.67
UWGN,ПАО НПК ОВК ао,2905885544,1,47.75
VEON-RX,VEON Ltd. ORD SHS,1749127404,10,43.75
VGSB,"""Волгоград.энергосбыткомп"" ПАО",319595965,1000,13.34
VGSBP,"""Волгоград.энергосбыткомп"" ПАО",80499134,1000,9.84
VJGZ,ННК-Варьеганнефтегаз ПАО ао,18091110,1,2850.0
VJGZP,ННК-Варьеганнефтегаз ПАО ап,5883050,1,1910.0
VKCO,Международная компания ПАО ВК,227874940,1,347.2
VLHZ,Владимирский химич.з-д(ПАО) ао,5005605,10,202.0
VRSB,ТНС энерго Воронеж ПАО ао,56151024,10,503.0
VRSBP,ТНС энерго Воронеж ПАО ап,18716678,10,163.0
VSEH,ВИ.ру,500000000,1,89.55
VSMO,Корп. ВСМПО-АВИСМА (ПАО) ао,11529538,1,29100.0
VSYD,Выборгский Суд.Завод ПАО ао,1891250,1,13600.0
VSYDP,Выборгский Суд.Завод ПАО ап,51839,1,9500.0
VTBR,ао ПАО Банк ВТБ,5369933893,1,86.92
WTCM,"""Центр междун. торговли""ПАО ао",1083000000,100,14.14
WTCMP,"""Центр междун. торговли""ПАО ап",162000000,100,10.8
WUSH,ВУШ Холдинг ао,111382432,1,179.67
X5,Корпоративный центр ИКС 5,271572872,1,2908.5
YAKG,Якутская топл.-энерг. комп. ао,826919375,10,58.3
YDEX,МКПАО ЯНДЕКС,379453795,1,4019.5
YKEN,"АК ""Якутскэнерго"" (ПАО) ао",10187741424,10000,0.539
YKENP,"АК ""Якутскэнерго"" (ПАО) ап",1332635125,10000,0.459
YRSB,ТНС энерго Ярославль ПАО ао,17143584,10,928.0
YRSBP,ТНС энерго Ярославль ПАО ап,4507320,10,231.0
ZAYM,Займер ао,100000000,10,138.0
ZILL,Завод им. И.А.Лихачева ПАО ао,2659962,1,3590.0
ZVEZ,ЗВЕЗДА ПАО ао,562020480,1000,8.2
